start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1779065220,1779065280,2026-05-18T00:47:00+00:00,2026-05-18T00:48:00+00:00,,,,,,,,,,,,,,,,,,,,
1779065280,1779065340,2026-05-18T00:48:00+00:00,2026-05-18T00:49:00+00:00,,,,,,,,,,,,,,,,,,,,
1779065340,1779065400,2026-05-18T00:49:00+00:00,2026-05-18T00:50:00+00:00,,,,,,,,,,,,,,,,,,,,
1779065400,1779065460,2026-05-18T00:50:00+00:00,2026-05-18T00:51:00+00:00,,,,,,,,,,,,,,,,,,,,
1779065460,1779065520,2026-05-18T00:51:00+00:00,2026-05-18T00:52:00+00:00,,,,,,,,,,,,,,,,,,,,
1779065520,1779065580,2026-05-18T00:52:00+00:00,2026-05-18T00:53:00+00:00,,,,,,,,,,,,,,,,,,,,
1779065580,1779065640,2026-05-18T00:53:00+00:00,2026-05-18T00:54:00+00:00,,,,,,,,,,,,,,,,,,,,
1779065640,1779065700,2026-05-18T00:54:00+00:00,2026-05-18T00:55:00+00:00,,,,,,,,,,,,,,,,,,,,
1779065700,1779065760,2026-05-18T00:55:00+00:00,2026-05-18T00:56:00+00:00,,,,,,,,,,,,,,,,,,,,
1779065760,1779065820,2026-05-18T00:56:00+00:00,2026-05-18T00:57:00+00:00,,,,,,,,,,,,,,,,,,,,
1779065820,1779065880,2026-05-18T00:57:00+00:00,2026-05-18T00:58:00+00:00,,,,,,,,,,,,,,,,,,,,
1779065880,1779065940,2026-05-18T00:58:00+00:00,2026-05-18T00:59:00+00:00,,,,,,,,,,,,,,,,,,,,
1779065940,1779066000,2026-05-18T00:59:00+00:00,2026-05-18T01:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1779066000,1779066060,2026-05-18T01:00:00+00:00,2026-05-18T01:01:00+00:00,,,,,,,,,,,,,,,,,,,,
1779066060,1779066120,2026-05-18T01:01:00+00:00,2026-05-18T01:02:00+00:00,,,,,,,,,,,,,,,,,,,,
1779066120,1779066180,2026-05-18T01:02:00+00:00,2026-05-18T01:03:00+00:00,,,,,,,,,,,,,,,,,,,,
1779066180,1779066240,2026-05-18T01:03:00+00:00,2026-05-18T01:04:00+00:00,,,,,,,,,,,,,,,,,,,,
1779066240,1779066300,2026-05-18T01:04:00+00:00,2026-05-18T01:05:00+00:00,,,,,,,,,,,,,,,,,,,,
1779066300,1779066360,2026-05-18T01:05:00+00:00,2026-05-18T01:06:00+00:00,,,,,,,,,,,,,,,,,,,,
1779066360,1779066420,2026-05-18T01:06:00+00:00,2026-05-18T01:07:00+00:00,,,,,,,,,,,,,,,,,,,,
1779066420,1779066480,2026-05-18T01:07:00+00:00,2026-05-18T01:08:00+00:00,,,,,,,,,,,,,,,,,,,,
1779066480,1779066540,2026-05-18T01:08:00+00:00,2026-05-18T01:09:00+00:00,,,,,,,,,,,,,,,,,,,,
1779066540,1779066600,2026-05-18T01:09:00+00:00,2026-05-18T01:10:00+00:00,,,,,,,,,,,,,,,,,,,,
